Age Equivalent,Verbal Raw Score,Nonverbal Raw Score
18:06,87-108,38-46
18:00,86,38-47
17:06,85,38-48
17:00,84,38-49
16:06,83,38-50
16:00,82,37
15:08,81,37
15:04,80,36
15:00,78-79,36
14:08,77,35
14:04,75-76,35
14:00,74,35
13:08,73,34
13:04,72,34
13:00,71,34
12:08,70,33
12:04,69,33
12:00,68,33
11:08,67,32
11:04,65-66,32
11:00,63-64,32
10:08,61-62,31
10:04,59-60,30
10:00,57-58,30
9:09,55-56,29
9:06,53-54,29
9:03,51-52,28
9:00,49-50,28
8:09,48,27
8:06,46-47,26
8:03,44-45,25
8:00,43,25
7:09,41-42,24
7:06,40,23
7:03,38-39,22
7:00,37,22
6:09,36,21
6:06,34-35,21
6:03,33,20
6:00,32,19
5:10,31,19
5:08,30,18
5:06,29,17
5:04,28,17
5:02,27,16
5:00,26,15
4:10,25,14
4:08,24,13
4:06,22-23,13
4:04,21,12
4:02,20,12
4:00,19,11
<4:0,0-18,0-10
