SumofStandardScores,StandScore,90ConfInt,PercentileRank
302-320,160,153-164,>99.9
300-301,159,152-163,>99.9
299,158,151-162,>99.9
297-298,157,150-161,>99.9
296,156,149-160,>99.9
295,155,148-159,>99.9
293-294,154,147-158,>99.9
292,153,147-157,>99.9
290-291,152,146-156,>99.9
289,151,145-155,>99.9
287-288,150,144-154,>99.9
286,149,143-153,>99.9
284-285,148,142-152,99.9
283,147,141-151,99.9
281-282,146,140-150,99.9
280,145,139-149,99.9
278-279,144,138-148,99.8
277,143,137-147,99.8
275-276,142,136-146,99.7
273-274,141,135-145,99.7
272,140,134-144,99.6
270-271,139,133-143,99.5
269,138,132-142,99
267-268,137,131-141,99
265-266,136,130-140,99
264,135,129-139,99
262-263,134,128-138,99
260-261,133,127-138,99
259,132,126-137,98
257-258,131,125-136,98
255-256,130,124-135,98
253-254,129,123-134,97
252,128,122-133,97
250-251,127,121-132,96
248-249,126,120-131,96
246-247,125,119-130,95
245,124,118-129,95
243-244,123,117-128,94
241-242,122,116-127,93
239-240,121,115-126,92
238,120,114-125,91
236-237,119,113-124,90
234-235,118,112-123,88
232-233,117,111-122,87
230-231,116,110-121,86
228-229,115,109-120,84
227,114,108-119,82
225-226,113,107-118,81
223-224,112,106-117,79
221-222,111,105-116,77
219-220,110,104-115,75
217-218,109,104-114,73
215-216,108,103-113,70
213-214,107,102-112,68
212,106,101-111,66
210-211,105,100-110,63
208-209,104,99-109,61
206-207,103,98-108,58
204-205,102,97-107,55
202-203,101,96-106,53
200-201,100,95-105,50
198-199,99,94-104,47
196-197,98,93-103,45
194-195,97,92-102,42
192-193,96,91-101,39
190-191,95,90-100,37
188-189,94,89-99,34
186-187,93,88-98,32
184-185,92,87-97,30
182-183,91,86-96,27
181,90,85-96,25
179-180,89,84-95,23
177-178,88,83-94,21
175-176,87,82-93,19
173-174,86,81-92,18
171-172,85,80-91,16
169-170,84,79-90,14
167-168,83,78-89,13
165-166,82,77-88,12
163-164,81,76-87,10
161-162,80,75-86,9
159-160,79,74-85,8
157-158,78,73-84,7
155-156,77,72-83,6
153-154,76,71-82,5
151-152,75,70-81,5
149-150,74,69-80,4
147-148,73,68-79,4
145-146,72,67-78,3
143-144,71,66-77,3
141-142,70,65-76,2
139-140,69,64-75,2
137-138,68,63-74,2
135-136,67,62-73,1
134,66,62-72,1
132-133,65,61-71,1
130-131,64,60-70,1
128-129,63,59-69,1
126-127,62,58-68,1
124-125,61,57-67,0.5
122-123,60,56-66,0.4
120-121,59,55-65,0.3
118-119,58,54-64,0.3
116-117,57,53-63,0.2
115,56,52-62,0.2
113-114,55,51-61,0.1
111-112,54,50-60,0.1
109-110,53,49-59,0.1
107-108,52,48-58,0.1
105-106,51,47-57,<0.1
103-104,50,46-56,<0.1
102,49,45-55,<0.1
100-101,48,44-54,<0.1
98-99,47,43-53,<0.1
96-97,46,42-53,<0.1
94-95,45,41-52,<0.1
93,44,40-51,<0.1
91-92,43,39-50,<0.1
89-90,42,38-49,<0.1
87-88,41,37-48,<0.1
80-86,40,36-47,<0.1
