ScaledScore,StandScore,PercentileRank
N/A,148-160,>99
19,143-147,>99
18,138-142,>99
17,133-137,99
16,130-132,98
16,128-129,97
15,126-127,96
15,124-125,95
15,123,94
14,122,93
14,121,92
14,120,91
14,119,90
14,118,88
14,117,87
13,116,86
13,115,84
13,114,82
13,113,81
13,112,79
12,111,77
12,110,75
12,109,73
12,108,70
11,107,68
11,106,66
11,105,63
11,104,61
11,103,58
10,102,55
10,101,53
10,100,50
10,99,47
10,98,45
9,97,42
9,96,39
9,95,37
9,94,34
9,93,32
9,92,30
9,91,27
8,90,25
8,89,23
8,88,21
8,87,19
8,86,18
7,85,16
7,84,14
7,83,13
7,82,12
6,81,10
6,80,9
6,79,8
6,78,7
6,77,6
5,75-76,5
5,73-74,4
5,71-72,3
4,68-70,2
3,63-67,1
2,58-62,<1
1,53-57,<1
N/A,40-52,<1
